Year,Month,Day,Registered,Casual
2012,2,22,4373,394
2012,2,23,4533,515
2012,2,24,3234,246
2012,2,25,2415,317
2012,2,26,2874,515
2012,2,27,4064,253
2012,2,28,4124,229
2012,2,29,1764,65
2012,3,1,4653,325
2012,3,2,2945,245
2012,3,3,3105,956
2012,3,4,2708,710
2012,3,5,3128,203
2012,3,6,3726,220
2012,3,7,4475,432
2012,3,8,4888,486
2012,3,9,4114,447
2012,3,10,3148,968
2012,3,11,3248,1658
2012,3,12,4452,838
2012,3,13,5072,761
2012,3,14,5308,997
2012,3,15,5178,1005
2012,3,16,3820,548
2012,3,17,4677,3155
2012,3,18,3683,2207
2012,3,19,5164,982
2012,3,20,5037,1051
2012,3,21,5100,1121
2012,3,22,5525,1334
2012,3,23,5884,2467
2012,3,24,2334,1033
2012,3,25,3461,1532
2012,3,26,4754,795
2012,3,27,4562,531
2012,3,28,5018,674
2012,3,29,5292,834
2012,3,30,4656,791
2012,3,31,3932,2301
2012,4,1,3690,2347
2012,4,2,4712,1208
2012,4,3,5409,1348
2012,4,4,5361,1058
2012,4,5,5249,1192
2012,4,6,4646,1807
2012,4,7,3603,3252
2012,4,8,2938,2230
2012,4,9,4671,905
2012,4,10,5088,819
2012,4,11,4367,482
2012,4,12,4733,663
2012,4,13,5137,1252
2012,4,14,4663,2795
2012,4,15,4278,2846
2012,4,16,5164,1197
2012,4,17,5684,987
2012,4,18,4013,347
2012,4,19,5702,845
2012,4,20,5934,1339
2012,4,21,4080,2541
2012,4,22,903,120
2012,4,23,3010,194
2012,4,24,5105,516
2012,4,25,5532,655
2012,4,26,4545,475
2012,4,27,5212,1013
2012,4,28,3100,1120
2012,4,29,4073,2229
2012,4,30,4904,665
2012,5,1,5080,653
2012,5,2,5491,667
2012,5,3,5651,764
2012,5,4,5220,1068
2012,5,5,4387,2496
2012,5,6,4220,2135
2012,5,7,5260,1007
2012,5,8,4983,736
2012,5,9,4090,620
2012,5,10,5537,1026
2012,5,11,5702,1317
2012,5,12,4805,2622
2012,5,13,3945,2171
2012,5,14,2500,342
2012,5,15,4484,625
2012,5,16,6422,991
2012,5,17,6130,1241
2012,5,18,6110,1521
2012,5,19,4882,3410
2012,5,20,4422,2702
2012,5,21,3725,630
2012,5,22,5241,819
2012,5,23,4483,766
2012,5,24,5700,1059
2012,5,25,5303,1417
2012,5,26,3678,2855
2012,5,27,3305,3283
2012,5,28,3481,2557
2012,5,29,4855,878
2012,5,30,6095,745
2012,5,31,6229,1099
2012,6,1,3587,531
2012,6,2,5323,2795
2012,6,3,5147,2494
2012,6,4,5923,1071
2012,6,5,6030,967
2012,6,6,6022,1026
2012,6,7,6451,1038
2012,6,8,6242,1488
2012,6,9,4789,2707
2012,6,10,4372,2223
2012,6,11,5639,1016
2012,6,12,4484,477
2012,6,13,6243,1173
2012,6,14,6179,1180
2012,6,15,6093,1563
2012,6,16,4736,2962
2012,6,17,4334,2634
2012,6,18,4440,652
2012,6,19,5845,967
2012,6,20,5326,870
2012,6,21,5115,776
2012,6,22,4849,961
2012,6,23,4797,2655
2012,6,24,4338,2551
2012,6,25,5630,1139
2012,6,26,6348,1077
2012,6,27,6246,1077
2012,6,28,5947,921
2012,6,29,4626,829
2012,6,30,4225,1454
2012,7,1,4110,1421
2012,7,2,5323,904
2012,7,3,5608,1052
2012,7,4,4841,2562
2012,7,5,4836,1405
2012,7,6,4841,1366
2012,7,7,3392,1448
2012,7,8,3469,1203
2012,7,9,5571,998
2012,7,10,5336,954
2012,7,11,6289,975
2012,7,12,6414,1032
2012,7,13,5988,1511
2012,7,14,4614,2355
2012,7,15,4111,1920
2012,7,16,5742,1088
2012,7,17,5865,921
2012,7,18,4914,799
2012,7,19,5703,888
2012,7,20,5123,747
2012,7,21,3195,1264
2012,7,22,4866,2544
2012,7,23,5831,1135
2012,7,24,6452,1140
2012,7,25,6790,1383
2012,7,26,5825,1036
2012,7,27,5645,1259
2012,7,28,4451,2234
2012,7,29,4444,2153
2012,7,30,6065,1040
2012,7,31,6248,968
2012,8,1,6506,1074
2012,8,2,6278,983
2012,8,3,5847,1328
2012,8,4,4479,2345
2012,8,5,3757,1707
2012,8,6,5780,1233
2012,8,7,5995,1278
2012,8,8,6271,1263
2012,8,9,6090,1196
2012,8,10,4721,1065
2012,8,11,4052,2247
2012,8,12,4362,2182
2012,8,13,5676,1207
2012,8,14,5656,1128
2012,8,15,6149,1198
2012,8,16,6267,1338
2012,8,17,5665,1483
2012,8,18,5038,2827
2012,8,19,3341,1208
2012,8,20,5504,1026
2012,8,21,5925,1081
2012,8,22,6281,1094
2012,8,23,6402,1363
2012,8,24,6257,1325
2012,8,25,4224,1829
2012,8,26,3772,1483
2012,8,27,5928,989
2012,8,28,6105,935
2012,8,29,6520,1177
2012,8,30,6541,1172
2012,8,31,5917,1433
2012,9,1,3788,2352
2012,9,2,3197,2613
2012,9,3,4069,1965
2012,9,4,5997,867
2012,9,5,6280,832
2012,9,6,5592,611
2012,9,7,6459,1045
2012,9,8,4419,1557
2012,9,9,5657,2570
2012,9,10,6407,1118
2012,9,11,6697,1070
2012,9,12,6820,1050
2012,9,13,6750,1054
2012,9,14,6630,1379
2012,9,15,5554,3160
2012,9,16,5167,2166
2012,9,17,5847,1022
2012,9,18,3702,371
2012,9,19,6803,788
2012,9,20,6781,939
2012,9,21,6917,1250
2012,9,22,5883,2512
2012,9,23,5453,2454
2012,9,24,6435,1001
2012,9,25,6693,845
2012,9,26,6946,787
2012,9,27,6642,751
2012,9,28,6370,1045
2012,9,29,5966,2589
2012,9,30,4873,2015
2012,10,1,6015,763
2012,10,2,4324,315
2012,10,3,6844,728
2012,10,4,6437,891
2012,10,5,6640,1516
2012,10,6,4934,3031
2012,10,7,2729,781
2012,10,8,4604,874
2012,10,9,5791,601
2012,10,10,6911,780
2012,10,11,6736,834
2012,10,12,6222,1060
2012,10,13,4857,2252
2012,10,14,4559,2080
2012,10,15,5115,760
2012,10,16,6612,922
2012,10,17,6482,979
2012,10,18,6501,1008
2012,10,19,4671,753
2012,10,20,5284,2806
2012,10,21,4692,2132
2012,10,22,6228,830
2012,10,23,6625,841
2012,10,24,6898,795
2012,10,25,6484,875
2012,10,26,6262,1182
2012,10,27,5209,2643
2012,10,28,3461,998
2012,10,29,20,2
2012,10,30,1009,87
2012,10,31,5147,419
2012,11,1,5520,466
2012,11,2,5229,618
2012,11,3,4109,1029
2012,11,4,3906,1201
2012,11,5,4881,378
2012,11,6,5220,466
2012,11,7,4709,326
2012,11,8,4975,340
2012,11,9,5283,709
2012,11,10,4446,2090
2012,11,11,4562,2290
2012,11,12,5172,1097
2012,11,13,3767,327
2012,11,14,5122,373
2012,11,15,5125,320
2012,11,16,5214,484
2012,11,17,4316,1313
2012,11,18,3747,922
2012,11,19,5050,449
2012,11,20,5100,534
2012,11,21,4531,615
2012,11,22,1470,955
2012,11,23,2307,1603
2012,11,24,1745,532
2012,11,25,2115,309
2012,11,26,4750,337
2012,11,27,3836,123
2012,11,28,5062,198
2012,11,29,5080,243
2012,11,30,5306,362
2012,12,1,4240,951
2012,12,2,3757,892
2012,12,3,5679,555
2012,12,4,6055,551
2012,12,5,5398,331
2012,12,6,5035,340
2012,12,7,4659,349
2012,12,8,4429,1153
2012,12,9,2787,441
2012,12,10,4841,329
2012,12,11,5219,282
2012,12,12,5009,310
2012,12,13,5107,425
2012,12,14,5182,429
2012,12,15,4280,767
2012,12,16,3248,538
